role_id,role_name,function,role_level,avg_annual_salary_usd,num_employees,task_repetitiveness_pct,decision_intensity,customer_impact,regulatory_sensitivity,skill_complexity,current_error_rate_pct,ai_maturity_readiness,hours_per_week,total_headcount,benefits_load_pct,total_annual_labor_cost_usd,productive_hours_per_year,cost_per_productive_hour,automation_potential_pct,augmentation_potential_pct,human_oversight_required_pct,ai_productivity_uplift_pct,implementation_cost_usd,ongoing_ai_cost_per_year_usd,time_to_value_months,quality_risk_score,change_mgmt_complexity,scenario_conservative_auto_pct,scenario_moderate_auto_pct,scenario_aggressive_auto_pct,automatable_labor_cost_usd,augmentable_labor_cost_usd,total_ai_opportunity_cost_usd,impl_cost_per_head_usd,risk_score,ai_classification
ENG-001,Software Engineer,Engineering,Mid,130000,420,0.28,0.7,0.3,0.2,0.88,0.08,0.82,40,420,0.3,70980000.0,1920,88.02,0.339,0.6,0.769,0.544,6667000.0,2542000.0,17,0.269,0.677,0.136,0.221,0.288,24062220.0,42588000.0,66650220.0,15874.0,0.295,AI Augmentation
ENG-002,QA / Test Engineer,Engineering,Mid,105000,180,0.62,0.45,0.2,0.15,0.65,0.06,0.78,40,180,0.3,24570000.0,1920,71.09,0.54,0.368,0.598,0.461,2094000.0,874000.0,16,0.356,0.494,0.216,0.351,0.459,13267800.0,9041760.0,22309560.0,11633.0,0.277,Low AI Suitability
ENG-003,DevOps / Platform Engineer,Engineering,Senior,140000,110,0.45,0.6,0.25,0.3,0.82,0.05,0.7,40,110,0.3,20020000.0,1920,94.79,0.387,0.488,0.751,0.479,1893000.0,702000.0,17,0.28,0.639,0.155,0.251,0.329,7747740.0,9769760.0,17517500.0,17209.0,0.316,AI Augmentation
DAT-001,Data Analyst,Data & Analytics,Mid,95000,150,0.55,0.55,0.2,0.25,0.7,0.07,0.8,40,150,0.3,18525000.0,1920,64.32,0.475,0.436,0.67,0.484,1654000.0,661000.0,16,0.321,0.548,0.19,0.309,0.404,8799375.0,8076900.0,16876275.0,11027.0,0.298,AI Augmentation
DAT-002,Data Scientist,Data & Analytics,Senior,135000,80,0.3,0.72,0.15,0.25,0.92,0.06,0.75,40,80,0.3,14040000.0,1920,91.41,0.32,0.6,0.794,0.531,1356000.0,497000.0,17,0.192,0.716,0.128,0.208,0.272,4492800.0,8424000.0,12916800.0,16950.0,0.253,AI Augmentation
DAT-003,BI / Reporting Analyst,Data & Analytics,Junior,78000,90,0.7,0.35,0.15,0.2,0.55,0.09,0.82,40,90,0.3,9126000.0,1920,52.81,0.611,0.311,0.551,0.452,759000.0,327000.0,16,0.386,0.406,0.244,0.397,0.519,5575986.0,2838186.0,8414172.0,8433.0,0.285,Full Automation
FIN-001,Financial Analyst,Finance,Mid,100000,120,0.58,0.62,0.15,0.75,0.72,0.05,0.68,40,120,0.3,15600000.0,1920,67.71,0.379,0.45,0.847,0.452,1599000.0,545000.0,17,0.263,0.605,0.152,0.246,0.322,5912400.0,7020000.0,12932400.0,13325.0,0.421,AI Augmentation
FIN-002,Accounts Payable / Receivable Clerk,Finance,Junior,58000,85,0.88,0.18,0.1,0.65,0.3,0.12,0.85,40,85,0.3,6409000.0,1920,39.27,0.675,0.214,0.59,0.416,542000.0,231000.0,15,0.451,0.228,0.27,0.438,0.573,4326075.0,1371526.0,5697601.0,6376.0,0.418,Full Automation
FIN-003,Payroll Specialist,Finance,Junior,62000,45,0.82,0.22,0.12,0.8,0.38,0.04,0.78,40,45,0.3,3627000.0,1920,41.98,0.587,0.243,0.691,0.4,329000.0,129000.0,15,0.408,0.292,0.235,0.381,0.499,2129049.0,881361.0,3010410.0,7311.0,0.456,Low AI Suitability
FIN-004,FP&A Manager,Finance,Manager,145000,25,0.35,0.82,0.1,0.7,0.85,0.03,0.6,40,25,0.3,4712500.0,1920,98.18,0.249,0.6,0.9,0.495,500000.0,162000.0,18,0.165,0.75,0.1,0.162,0.212,1173412.0,2827500.0,4000912.0,20000.0,0.371,AI Augmentation
HR-001,HR Business Partner,Human Resources,Senior,110000,40,0.3,0.78,0.6,0.55,0.68,0.05,0.5,40,40,0.3,5720000.0,1920,74.48,0.225,0.6,0.9,0.478,550000.0,194000.0,19,0.399,0.679,0.09,0.147,0.192,1287000.0,3432000.0,4719000.0,13750.0,0.512,AI Augmentation
HR-002,Recruiter / Talent Acquisition,Human Resources,Mid,85000,65,0.52,0.6,0.7,0.4,0.55,0.08,0.65,40,65,0.3,7182500.0,1920,57.55,0.391,0.454,0.767,0.455,631000.0,250000.0,17,0.529,0.527,0.156,0.254,0.333,2808358.0,3260855.0,6069213.0,9708.0,0.524,AI Augmentation
HR-003,HR Operations / Admin,Human Resources,Junior,55000,50,0.78,0.22,0.35,0.45,0.32,0.1,0.72,40,50,0.3,3575000.0,1920,37.24,0.612,0.239,0.6,0.399,290000.0,126000.0,16,0.524,0.277,0.245,0.398,0.52,2187900.0,854425.0,3042325.0,5800.0,0.442,Full Automation
