role_id,role_name,function,total_headcount,avg_annual_salary_usd,total_annual_labor_cost_usd,automation_potential_pct,ai_productivity_uplift_pct,risk_score,scenario,labor_savings,productivity_gain_value,impl_cost_adj,ongoing_cost_adj,net_annual_benefit,savings_pct_of_cost,roi_year1,payback_months,npv_3yr,risk_adj_net_benefit,ai_assisted_labor_cost
ENG-001,Software Engineer,Engineering,420,130000,70980000.0,0.339,0.544,0.295,Conservative,9624888.0,19306560.0,8000400.0,2542000.0,26389448.0,0.1356,2.2985,3.6,57626251.0,20161538.0,63897112.0
ENG-002,QA / Test Engineer,Engineering,180,105000,24570000.0,0.54,0.461,0.277,Conservative,5307120.0,5663385.0,2512800.0,874000.0,10096505.0,0.216,3.018,3.0,22595714.0,7859119.0,20136880.0
ENG-003,DevOps / Platform Engineer,Engineering,110,140000,20020000.0,0.387,0.479,0.316,Conservative,3099096.0,4794790.0,2271600.0,702000.0,7191886.0,0.1548,2.166,3.8,15613556.0,5373777.0,17622904.0
DAT-001,Data Analyst,Data & Analytics,150,95000,18525000.0,0.475,0.484,0.298,Conservative,3519750.0,4483050.0,1984800.0,661000.0,7341800.0,0.19,2.699,3.2,16273170.0,5591515.0,15666250.0
DAT-002,Data Scientist,Data & Analytics,80,135000,14040000.0,0.32,0.531,0.253,Conservative,1797120.0,3727620.0,1627200.0,497000.0,5027740.0,0.128,2.0898,3.9,10876045.0,4010125.0,12739880.0
DAT-003,BI / Reporting Analyst,Data & Analytics,90,78000,9126000.0,0.611,0.452,0.285,Conservative,2230394.0,2062476.0,910800.0,327000.0,3965870.0,0.2444,3.3543,2.8,8951732.0,3061652.0,7222606.0
FIN-001,Financial Analyst,Finance,120,100000,15600000.0,0.379,0.452,0.421,Conservative,2364960.0,3525600.0,1918800.0,545000.0,5345560.0,0.1516,1.7859,4.3,11374817.0,3545175.0,13780040.0
FIN-002,Accounts Payable / Receivable Clerk,Finance,85,58000,6409000.0,0.675,0.416,0.418,Conservative,1730430.0,1333072.0,650400.0,231000.0,2832502.0,0.27,3.355,2.8,6393613.0,1885313.0,4909570.0
FIN-003,Payroll Specialist,Finance,45,62000,3627000.0,0.587,0.4,0.456,Conservative,851620.0,725400.0,394800.0,129000.0,1448020.0,0.2348,2.6677,3.3,3206211.0,919782.0,2904380.0
FIN-004,FP&A Manager,Finance,25,145000,4712500.0,0.249,0.495,0.371,Conservative,469365.0,1166344.0,600000.0,162000.0,1473709.0,0.0996,1.4562,4.9,3064896.0,1036312.0,4405135.0
HR-001,HR Business Partner,Human Resources,40,110000,5720000.0,0.225,0.478,0.512,Conservative,514800.0,1367080.0,660000.0,194000.0,1687880.0,0.09,1.5574,4.7,3537508.0,996524.0,5399200.0
