role_id,role_name,function,role_level,avg_annual_salary_usd,num_employees,task_repetitiveness_pct,decision_intensity,customer_impact,regulatory_sensitivity,skill_complexity,current_error_rate_pct,ai_maturity_readiness,hours_per_week,total_headcount,benefits_load_pct,total_annual_labor_cost_usd,productive_hours_per_year,cost_per_productive_hour,automation_potential_pct,augmentation_potential_pct,human_oversight_required_pct,ai_productivity_uplift_pct,implementation_cost_usd,ongoing_ai_cost_per_year_usd,time_to_value_months,quality_risk_score,change_mgmt_complexity,scenario_conservative_auto_pct,scenario_moderate_auto_pct,scenario_aggressive_auto_pct,automatable_labor_cost_usd,augmentable_labor_cost_usd,total_ai_opportunity_cost_usd,impl_cost_per_head_usd,risk_score,ai_classification,F1_raw,F2_raw,F3_raw,F4_raw,F5_raw,F6_raw,F1_norm,F2_norm,F3_norm,F4_norm,F5_norm,F6_norm,AAPS,AAPS_rank,RAG,Phase
ENG-001,Software Engineer,Engineering,Mid,130000,420,0.28,0.7,0.3,0.2,0.88,0.08,0.82,40,420,0.3,70980000.0,1920,88.02,0.339,0.6,0.769,0.544,6667000.0,2542000.0,17,0.269,0.677,0.136,0.221,0.288,24062220.0,42588000.0,66650220.0,15874.0,0.2953,AI Augmentation,0.339,24062220.0,0.544,0.6212,0.2953,0.7,0.38461538461538464,1.0,1.0,0.613263785394933,0.1281345565749235,0.7027027027027027,0.7051,1,Red,Phase 1
ENG-002,QA / Test Engineer,Engineering,Mid,105000,180,0.62,0.45,0.2,0.15,0.65,0.06,0.78,40,180,0.3,24570000.0,1920,71.09,0.54,0.368,0.598,0.461,2094000.0,874000.0,16,0.356,0.494,0.216,0.351,0.459,13267800.0,9041760.0,22309560.0,11633.0,0.2768,Low AI Suitability,0.54,13267800.0,0.461,0.6704,0.2768,0.45,0.7527472527472527,0.5413259091700018,0.4275862068965517,0.7049180327868854,0.07155963302752286,0.3648648648648649,0.6498,3,Red,Phase 1
ENG-003,DevOps / Platform Engineer,Engineering,Senior,140000,110,0.45,0.6,0.25,0.3,0.82,0.05,0.7,40,110,0.3,20020000.0,1920,94.79,0.387,0.488,0.751,0.479,1893000.0,702000.0,17,0.28,0.639,0.155,0.251,0.329,7747740.0,9769760.0,17517500.0,17209.0,0.3159,AI Augmentation,0.387,7747740.0,0.479,0.5644,0.3159,0.6,0.4725274725274725,0.3067687489124761,0.5517241379310341,0.5074515648286141,0.191131498470948,0.5675675675675675,0.4778,15,Red,Phase 2
DAT-001,Data Analyst,Data & Analytics,Mid,95000,150,0.55,0.55,0.2,0.25,0.7,0.07,0.8,40,150,0.3,18525000.0,1920,64.32,0.475,0.436,0.67,0.484,1654000.0,661000.0,16,0.321,0.548,0.19,0.309,0.404,8799375.0,8076900.0,16876275.0,11027.0,0.2982,AI Augmentation,0.475,8799375.0,0.484,0.6607999999999999,0.2982,0.55,0.6336996336996336,0.35145458914381833,0.5862068965517239,0.6870342771982116,0.13700305810397556,0.5000000000000001,0.5736,6,Red,Phase 1
DAT-002,Data Scientist,Data & Analytics,Senior,135000,80,0.3,0.72,0.15,0.25,0.92,0.06,0.75,40,80,0.3,14040000.0,1920,91.41,0.32,0.6,0.794,0.531,1356000.0,497000.0,17,0.192,0.716,0.128,0.208,0.272,4492800.0,8424000.0,12916800.0,16950.0,0.2534,AI Augmentation,0.32,4492800.0,0.531,0.5636,0.2534,0.72,0.3498168498168498,0.1684605632752492,0.9103448275862068,0.5059612518628913,0.0,0.7297297297297298,0.469,16,Red,Phase 2
DAT-003,BI / Reporting Analyst,Data & Analytics,Junior,78000,90,0.7,0.35,0.15,0.2,0.55,0.09,0.82,40,90,0.3,9126000.0,1920,52.81,0.611,0.311,0.551,0.452,759000.0,327000.0,16,0.386,0.406,0.244,0.397,0.519,5575986.0,2838186.0,8414172.0,8433.0,0.285,Full Automation,0.611,5575986.0,0.452,0.7295999999999999,0.285,0.35,0.8827838827838826,0.21448706157249744,0.36551724137931024,0.8152011922503726,0.0966360856269112,0.22972972972972971,0.6188,4,Red,Phase 1
FIN-001,Financial Analyst,Finance,Mid,100000,120,0.58,0.62,0.15,0.75,0.72,0.05,0.68,40,120,0.3,15600000.0,1920,67.71,0.379,0.45,0.847,0.452,1599000.0,545000.0,17,0.263,0.605,0.152,0.246,0.322,5912400.0,7020000.0,12932400.0,13325.0,0.4207,AI Augmentation,0.379,5912400.0,0.452,0.5660000000000001,0.4207,0.62,0.45787545787545786,0.2287818903444447,0.36551724137931024,0.5104321907600599,0.5116207951070336,0.5945945945945946,0.3924,18,Red,Phase 2
FIN-002,Accounts Payable / Receivable Clerk,Finance,Junior,58000,85,0.88,0.18,0.1,0.65,0.3,0.12,0.85,40,85,0.3,6409000.0,1920,39.27,0.675,0.214,0.59,0.416,542000.0,231000.0,15,0.451,0.228,0.27,0.438,0.573,4326075.0,1371526.0,5697601.0,6376.0,0.4182,Full Automation,0.675,4326075.0,0.416,0.8188,0.4182,0.18,1.0,0.1613761217032489,0.11724137931034453,0.981371087928465,0.5039755351681957,0.0,0.6047,5,Red,Phase 1
FIN-003,Payroll Specialist,Finance,Junior,62000,45,0.82,0.22,0.12,0.8,0.38,0.04,0.78,40,45,0.3,3627000.0,1920,41.98,0.587,0.243,0.691,0.4,329000.0,129000.0,15,0.408,0.292,0.235,0.381,0.499,2129049.0,881361.0,3010410.0,7311.0,0.4564,Low AI Suitability,0.587,2129049.0,0.4,0.7512,0.4564,0.22,0.8388278388278387,0.06802058216709339,0.006896551724137936,0.8554396423248883,0.6207951070336389,0.054054054054054064,0.4886,14,Red,Phase 2
FIN-004,FP&A Manager,Finance,Manager,145000,25,0.35,0.82,0.1,0.7,0.85,0.03,0.6,40,25,0.3,4712500.0,1920,98.18,0.249,0.6,0.9,0.495,500000.0,162000.0,18,0.165,0.75,0.1,0.162,0.212,1173412.0,2827500.0,4000912.0,20000.0,0.371,AI Augmentation,0.249,1173412.0,0.495,0.45999999999999996,0.371,0.82,0.21978021978021975,0.027413867573951096,0.6620689655172411,0.31296572280178836,0.3596330275229357,0.8648648648648647,0.2856,25,Red,Phase 3
