weight,perturbation,new_weight,spearman_rho,p_value,max_rank_move,avg_rank_move,perturbed_weights
automation_potential,+10pp,0.35,0.9956,0.0,2,0.55,"{'automation_potential': np.float64(0.35), 'cost_saving_potential': np.float64(0.21666666666666667), 'productivity_improvement': np.float64(0.13), 'implementation_feasibility': np.float64(0.13), 'quality_risk': np.float64(0.08666666666666667), 'human_judgment_requirement': np.float64(0.08666666666666667)}"
automation_potential,-10pp,0.15,0.9926,0.0,3,0.62,"{'automation_potential': np.float64(0.15000000000000002), 'cost_saving_potential': np.float64(0.2833333333333334), 'productivity_improvement': np.float64(0.17), 'implementation_feasibility': np.float64(0.17), 'quality_risk': np.float64(0.11333333333333337), 'human_judgment_requirement': np.float64(0.11333333333333337)}"
cost_saving_potential,+10pp,0.35,0.9956,0.0,2,0.41,"{'automation_potential': np.float64(0.21666666666666667), 'cost_saving_potential': np.float64(0.35), 'productivity_improvement': np.float64(0.13), 'implementation_feasibility': np.float64(0.13), 'quality_risk': np.float64(0.08666666666666667), 'human_judgment_requirement': np.float64(0.08666666666666667)}"
cost_saving_potential,-10pp,0.15,0.9906,0.0,3,0.83,"{'automation_potential': np.float64(0.2833333333333334), 'cost_saving_potential': np.float64(0.15000000000000002), 'productivity_improvement': np.float64(0.17), 'implementation_feasibility': np.float64(0.17), 'quality_risk': np.float64(0.11333333333333337), 'human_judgment_requirement': np.float64(0.11333333333333337)}"
productivity_improvement,+10pp,0.25,0.9768,0.0,5,1.24,"{'automation_potential': np.float64(0.22058823529411764), 'cost_saving_potential': np.float64(0.22058823529411764), 'productivity_improvement': np.float64(0.25), 'implementation_feasibility': np.float64(0.1323529411764706), 'quality_risk': np.float64(0.08823529411764706), 'human_judgment_requirement': np.float64(0.08823529411764706)}"
productivity_improvement,-10pp,0.05,0.9768,0.0,5,1.24,"{'automation_potential': np.float64(0.27941176470588236), 'cost_saving_potential': np.float64(0.27941176470588236), 'productivity_improvement': np.float64(0.04999999999999999), 'implementation_feasibility': np.float64(0.1676470588235294), 'quality_risk': np.float64(0.11176470588235295), 'human_judgment_requirement': np.float64(0.11176470588235295)}"
implementation_feasibility,+10pp,0.25,0.9975,0.0,1,0.34,"{'automation_potential': np.float64(0.22058823529411764), 'cost_saving_potential': np.float64(0.22058823529411764), 'productivity_improvement': np.float64(0.1323529411764706), 'implementation_feasibility': np.float64(0.25), 'quality_risk': np.float64(0.08823529411764706), 'human_judgment_requirement': np.float64(0.08823529411764706)}"
implementation_feasibility,-10pp,0.05,0.9931,0.0,2,0.62,"{'automation_potential': np.float64(0.27941176470588236), 'cost_saving_potential': np.float64(0.27941176470588236), 'productivity_improvement': np.float64(0.1676470588235294), 'implementation_feasibility': np.float64(0.04999999999999999), 'quality_risk': np.float64(0.11176470588235295), 'human_judgment_requirement': np.float64(0.11176470588235295)}"
quality_risk,+10pp,0.2,0.969,0.0,5,1.59,"{'automation_potential': np.float64(0.22222222222222224), 'cost_saving_potential': np.float64(0.22222222222222224), 'productivity_improvement': np.float64(0.13333333333333336), 'implementation_feasibility': np.float64(0.13333333333333336), 'quality_risk': np.float64(0.20000000000000004), 'human_judgment_requirement': np.float64(0.0888888888888889)}"
quality_risk,-10pp,0.01,0.9892,0.0,3,0.9,"{'automation_potential': np.float64(0.27499999999999997), 'cost_saving_potential': np.float64(0.27499999999999997), 'productivity_improvement': np.float64(0.16499999999999998), 'implementation_feasibility': np.float64(0.16499999999999998), 'quality_risk': np.float64(0.009999999999999998), 'human_judgment_requirement': np.float64(0.10999999999999999)}"
human_judgment_requirement,+10pp,0.2,0.9857,0.0,3,1.03,"{'automation_potential': np.float64(0.2222222222222222), 'cost_saving_potential': np.float64(0.2222222222222222), 'productivity_improvement': np.float64(0.13333333333333333), 'implementation_feasibility': np.float64(0.13333333333333333), 'quality_risk': np.float64(0.08888888888888889), 'human_judgment_requirement': np.float64(0.2)}"
human_judgment_requirement,-10pp,0.01,0.9921,0.0,3,0.69,"{'automation_potential': np.float64(0.275), 'cost_saving_potential': np.float64(0.275), 'productivity_improvement': np.float64(0.165), 'implementation_feasibility': np.float64(0.165), 'quality_risk': np.float64(0.11000000000000001), 'human_judgment_requirement': np.float64(0.01)}"
