role_id,automation_potential_pct,augmentation_potential_pct,human_oversight_required_pct,ai_productivity_uplift_pct,implementation_cost_usd,ongoing_ai_cost_per_year_usd,time_to_value_months,quality_risk_score,change_mgmt_complexity,scenario_conservative_auto_pct,scenario_moderate_auto_pct,scenario_aggressive_auto_pct
ENG-001,0.339,0.6,0.769,0.544,6667000.0,2542000.0,17,0.269,0.677,0.136,0.221,0.288
ENG-002,0.54,0.368,0.598,0.461,2094000.0,874000.0,16,0.356,0.494,0.216,0.351,0.459
ENG-003,0.387,0.488,0.751,0.479,1893000.0,702000.0,17,0.28,0.639,0.155,0.251,0.329
DAT-001,0.475,0.436,0.67,0.484,1654000.0,661000.0,16,0.321,0.548,0.19,0.309,0.404
DAT-002,0.32,0.6,0.794,0.531,1356000.0,497000.0,17,0.192,0.716,0.128,0.208,0.272
DAT-003,0.611,0.311,0.551,0.452,759000.0,327000.0,16,0.386,0.406,0.244,0.397,0.519
FIN-001,0.379,0.45,0.847,0.452,1599000.0,545000.0,17,0.263,0.605,0.152,0.246,0.322
FIN-002,0.675,0.214,0.59,0.416,542000.0,231000.0,15,0.451,0.228,0.27,0.438,0.573
FIN-003,0.587,0.243,0.691,0.4,329000.0,129000.0,15,0.408,0.292,0.235,0.381,0.499
FIN-004,0.249,0.6,0.9,0.495,500000.0,162000.0,18,0.165,0.75,0.1,0.162,0.212
HR-001,0.225,0.6,0.9,0.478,550000.0,194000.0,19,0.399,0.679,0.09,0.147,0.192
HR-002,0.391,0.454,0.767,0.455,631000.0,250000.0,17,0.529,0.527,0.156,0.254,0.333
HR-003,0.612,0.239,0.6,0.399,290000.0,126000.0,16,0.524,0.277,0.245,0.398,0.52
SAL-001,0.227,0.6,0.858,0.483,3575000.0,1376000.0,19,0.51,0.694,0.091,0.148,0.193
SAL-002,0.554,0.324,0.577,0.431,1200000.0,558000.0,16,0.637,0.364,0.222,0.36,0.471
SAL-003,0.521,0.373,0.613,0.455,427000.0,182000.0,16,0.367,0.468,0.208,0.339,0.443
CS-001,0.661,0.288,0.511,0.459,1609000.0,783000.0,15,0.779,0.248,0.265,0.43,0.562
CS-002,0.294,0.565,0.795,0.485,1108000.0,452000.0,19,0.55,0.608,0.118,0.191,0.25
CS-003,0.445,0.437,0.68,0.468,1096000.0,461000.0,17,0.581,0.499,0.178,0.289,0.378
LEG-001,0.36,0.423,0.892,0.424,394000.0,129000.0,17,0.281,0.584,0.144,0.234,0.306
LEG-002,0.129,0.6,0.9,0.439,478000.0,136000.0,20,0.178,0.87,0.052,0.084,0.11
ITO-001,0.625,0.296,0.54,0.447,556000.0,257000.0,16,0.614,0.312,0.25,0.406,0.532
ITO-002,0.393,0.446,0.766,0.45,684000.0,258000.0,17,0.338,0.569,0.157,0.256,0.334
MKT-001,0.488,0.461,0.64,0.511,445000.0,194000.0,16,0.496,0.467,0.195,0.317,0.415
MKT-002,0.533,0.387,0.598,0.472,347000.0,152000.0,16,0.459,0.455,0.213,0.346,0.453
MKT-003,0.247,0.6,0.826,0.489,298000.0,117000.0,19,0.396,0.687,0.099,0.161,0.21
PRD-001,0.213,0.6,0.869,0.476,1214000.0,448000.0,19,0.38,0.762,0.085,0.139,0.181
PRD-002,0.321,0.565,0.763,0.5,685000.0,273000.0,18,0.455,0.645,0.128,0.209,0.273
PRD-003,0.537,0.395,0.601,0.483,281000.0,124000.0,16,0.48,0.425,0.215,0.349,0.456
