role_id,total_headcount,avg_annual_salary_usd,benefits_load_pct,total_annual_labor_cost_usd,productive_hours_per_year,cost_per_productive_hour
ENG-001,420,130000,0.3,70980000.0,1920,88.02
ENG-002,180,105000,0.3,24570000.0,1920,71.09
ENG-003,110,140000,0.3,20020000.0,1920,94.79
DAT-001,150,95000,0.3,18525000.0,1920,64.32
DAT-002,80,135000,0.3,14040000.0,1920,91.41
DAT-003,90,78000,0.3,9126000.0,1920,52.81
FIN-001,120,100000,0.3,15600000.0,1920,67.71
FIN-002,85,58000,0.3,6409000.0,1920,39.27
FIN-003,45,62000,0.3,3627000.0,1920,41.98
FIN-004,25,145000,0.3,4712500.0,1920,98.18
HR-001,40,110000,0.3,5720000.0,1920,74.48
HR-002,65,85000,0.3,7182500.0,1920,57.55
HR-003,50,55000,0.3,3575000.0,1920,37.24
SAL-001,200,155000,0.3,40300000.0,1920,104.95
SAL-002,180,68000,0.3,15912000.0,1920,46.04
SAL-003,45,88000,0.3,5148000.0,1920,59.58
CS-001,320,52000,0.3,21632000.0,1920,35.21
CS-002,110,92000,0.3,13156000.0,1920,62.29
CS-003,140,72000,0.3,13104000.0,1920,48.75
LEG-001,35,82000,0.3,3731000.0,1920,55.52
LEG-002,15,210000,0.3,4095000.0,1920,142.19
ITO-001,95,58000,0.3,7163000.0,1920,39.27
ITO-002,60,95000,0.3,7410000.0,1920,64.32
MKT-001,55,75000,0.3,5362500.0,1920,50.78
MKT-002,40,82000,0.3,4264000.0,1920,55.52
MKT-003,22,120000,0.3,3432000.0,1920,81.25
PRD-001,70,145000,0.3,13195000.0,1920,98.18
PRD-002,55,110000,0.3,7865000.0,1920,74.48
PRD-003,30,88000,0.3,3432000.0,1920,59.58
